Day,pnl_absolute,cum_pnl,roi,returns,pnl_absolute fro excel sheet ,difference
2022-07-04,-67.5,-5738.75,-3.83,-3.82583333333333,1402.5,1470
2022-07-05,93.75,-5645,-3.76,-3.76333333333333,7672.5,7578.75
2022-07-06,-917.5,-6562.5,-4.38,-4.375,-7700,-6782.5
2022-07-07,2295,-4267.5,-2.84,-2.845,937.5,-1357.5
2022-07-08,172.5,-4095,-2.73,-2.73,3887.5,3715
2022-07-11,-162.5,-4257.5,-2.84,-2.83833333333333,-3573.75,-3411.25
2022-07-12,226.25,-4031.25,-2.69,-2.6875,5431.25,5205
2022-07-13,-1643.75,-5675,-3.78,-3.78333333333333,4407.5,6051.25
2022-07-14,-1790,-7465,-4.98,-4.97666666666667,-5445,-3655
2022-07-15,160,-7305,-4.87,-4.87,-2586.25,-2746.25
2022-07-18,-902.5,-8207.5,-5.47,-5.47166666666667,-6328.75,-5426.25
2022-07-19,-1532.5,-9740,-6.49,-6.49333333333333,-1373.75,158.75
2022-07-20,755,-8985,-5.99,-5.99,3893.75,3138.75
2022-07-21,-1543.75,-10528.75,-7.02,-7.01916666666667,-2843.75,-1300
2022-07-22,-310,-10838.75,-7.23,-7.22583333333333,-1698.75,-1388.75
2022-07-25,317.5,-10521.25,-7.01,-7.01416666666667,4655,4337.5
2022-07-26,403.75,-10117.5,-6.74,-6.745,396.25,-7.5
2022-07-27,-1400,-11517.5,-7.68,-7.67833333333333,-5671.25,-4271.25
2022-07-28,2060,-9457.5,-6.3,-6.305,2050,-10
2022-07-29,112.5,-9345,-6.23,-6.23,6051.25,5938.75
2022-08-01,-445,-9790,-6.53,-6.52666666666667,-7548.75,-7103.75
2022-08-02,-505,-10295,-6.86,-6.86333333333333,377.5,882.5
2022-08-03,628.75,-9666.25,-6.44,-6.44416666666667,3796.25,3167.5
2022-08-04,-1811.25,-11477.5,-7.65,-7.65166666666667,3608.75,5420
2022-08-05,145,-11332.5,-7.56,-7.555,-7521.25,-7666.25
2022-08-08,-1072.5,-12405,-8.27,-8.27,-3607.5,-2535
2022-08-10,555,-11850,-7.9,-7.9,4103.75,3548.75
2022-08-11,392.5,-11457.5,-7.64,-7.63833333333333,-997.5,-1390
2022-08-12,185,-11272.5,-7.52,-7.515,1597.5,1412.5
2022-08-16,402.5,-10870,-7.25,-7.24666666666667,2408.75,2006.25
2022-08-17,3.75,-10866.25,-7.24,-7.24416666666667,-2576.25,-2580
2022-08-18,108.75,-10757.5,-7.17,-7.17166666666667,-377.5,-486.25
2022-08-19,-907.5,-11665,-7.78,-7.77666666666667,13081.25,13988.75
2022-08-22,531.25,-11133.75,-7.42,-7.4225,-6820,-7351.25
2022-08-23,-1477.5,-12611.25,-8.41,-8.4075,-9897.5,-8420
2022-08-24,602.5,-12008.75,-8.01,-8.00583333333333,2722.5,2120
2022-08-25,-1483.75,-13492.5,-9,-8.995,-977.5,506.25
2022-08-26,7.5,-13485,-8.99,-8.99,6101.25,6093.75
2022-08-29,192.5,-13292.5,-8.86,-8.86166666666667,-7951.25,-8143.75
2022-08-30,-2091.25,-15383.75,-10.26,-10.2558333333333,-1892.5,198.75
2022-09-01,-1962.5,-17346.25,-11.56,-11.5641666666667,-855,1107.5
2022-09-02,270,-17076.25,-11.38,-11.3841666666667,3473.75,3203.75
2022-09-05,157.5,-16918.75,-11.28,-11.2791666666667,-2622.5,-2780
2022-09-06,132.5,-16786.25,-11.19,-11.1908333333333,6018.75,5886.25
2022-09-07,875,-15911.25,-10.61,-10.6075,-4488.75,-5363.75
2022-09-08,-1782.5,-17693.75,-11.8,-11.7958333333333,-2185,-402.5
2022-09-09,228.75,-17465,-11.64,-11.6433333333333,3027.5,2798.75
2022-09-12,1.25,-17463.75,-11.64,-11.6425,-1197.5,-1198.75
2022-09-13,-58.75,-17522.5,-11.68,-11.6816666666667,-1596.25,-1537.5
2022-09-14,-2346.25,-19868.75,-13.25,-13.2458333333333,-5418.75,-3072.5
2022-09-15,-1867.5,-21736.25,-14.49,-14.4908333333333,10812.5,12680
2022-09-16,8.75,-21727.5,-14.49,-14.485,-4780,-4788.75
2022-09-19,163.75,-21563.75,-14.38,-14.3758333333333,-3702.5,-3866.25
2022-09-20,55,-21508.75,-14.34,-14.3391666666667,-60,-115
2022-09-21,195,-21313.75,-14.21,-14.2091666666667,1997.5,1802.5
2022-09-22,-2327.5,-23641.25,-15.76,-15.7608333333333,5710,8037.5
2022-09-23,-486.25,-24127.5,-16.08,-16.085,3031.25,3517.5
2022-09-26,791.25,-23336.25,-15.56,-15.5575,-10753.75,-11545
