,Unnamed: 0,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
58,58,NSE_FO:NIFTY12JAN2317950PE [LOCAL],2023-01-11 10:10:00+05:30,f7c90a7b11d04a07a7773dab034975a1,SELL,50,76.55,INTRADAY,MARKET,2023-01-11 10:55:00+05:30,38bf5ca116144405873986d5809ca661,BUY,50,100.15,INTRADAY,MARKET,-1180.0,-4210.0,-30.83,-8.42,45790.0,-12.12
59,59,NSE_FO:NIFTY12JAN2317950CE [LOCAL],2023-01-11 09:40:00+05:30,3af14f01ee2a4e2a8a1604377b46cd84,SELL,50,79.7,INTRADAY,MARKET,2023-01-11 10:55:00+05:30,df96d37674354699837ac8cfa80c60bc,BUY,50,62.05,INTRADAY,MARKET,882.5,-3327.5,22.15,-6.65,46672.5,-10.43
60,60,NSE_FO:NIFTY12JAN2317800PE [LOCAL],2023-01-11 09:44:00+05:30,e472ca6942594a62bb27181bda4b69ea,SELL,50,52.9,INTRADAY,MARKET,2023-01-11 10:55:00+05:30,26154394943545c6b4789983517645ff,BUY,50,39.55,INTRADAY,MARKET,667.5,-2660.0,25.24,-5.32,47340.0,-9.15
61,61,NSE_FO:NIFTY12JAN2317900CE [LOCAL],2023-01-11 10:55:00+05:30,c6e99eb1ce474e6d80caca50dd0e6c24,SELL,50,86.35,INTRADAY,MARKET,2023-01-11 14:59:00+05:30,42bede8d76444d93b21e2198fa30b691,BUY,50,93.2,INTRADAY,MARKET,-342.5,-3002.5,-7.93,-6.0,46997.5,-9.81
62,62,NSE_FO:NIFTY12JAN2317900PE [LOCAL],2023-01-11 10:55:00+05:30,c53a413bd7324c389c80135f96b762c4,SELL,50,74.55,INTRADAY,MARKET,2023-01-11 15:10:00+05:30,eea08f3064a64c6ea4df82329469ccd3,BUY,50,56.5,INTRADAY,MARKET,902.5,-2100.0,24.21,-4.2,47900.0,-8.07
63,63,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-11 14:59:00+05:30,0ca047c9483e4596bc3839096054ea19,SELL,50,42.6,INTRADAY,MARKET,2023-01-11 15:10:00+05:30,fb110ac0d49a4a5ebff07de8f757d6b6,BUY,50,27.0,INTRADAY,MARKET,780.0,-1320.0,36.62,-2.64,48680.0,-6.58
64,64,NSE_FO:NIFTY12JAN2317900CE [LOCAL],2023-01-12 09:17:00+05:30,0646ad96ea5d4e9387137b04e7393588,SELL,50,69.2,INTRADAY,MARKET,2023-01-12 09:19:00+05:30,015c05fcecdd447eb1976f7381626220,BUY,50,81.65,INTRADAY,MARKET,-622.5,-1942.5,-17.99,-3.89,48057.5,-7.77
65,65,NSE_FO:NIFTY12JAN2317900CE [LOCAL],2023-01-12 09:23:00+05:30,4cbdc1df88aa4a5ab1261d941c5f44a2,SELL,50,59.35,INTRADAY,MARKET,2023-01-12 09:34:00+05:30,4d48c5deb8904fd3b7db29c3e362b9e4,BUY,50,78.45,INTRADAY,MARKET,-955.0,-2897.5,-32.18,-5.79,47102.5,-9.61
66,66,NSE_FO:NIFTY12JAN2317900PE [LOCAL],2023-01-12 09:17:00+05:30,425688e505ab4e0599092a576da75823,SELL,50,46.65,INTRADAY,MARKET,2023-01-12 10:04:00+05:30,3a85db5cadad4623ad44c1ad03aa2e4d,BUY,50,70.7,INTRADAY,MARKET,-1202.5,-4100.0,-51.55,-8.2,45900.0,-11.91
67,67,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-12 09:19:00+05:30,4c141fd06a164916b5ab5f82add9d1fb,SELL,50,33.45,INTRADAY,MARKET,2023-01-12 10:32:00+05:30,111e607a89b442d1b3afa72e4c0ad732,BUY,50,6.6,INTRADAY,MARKET,1342.5,-2757.5,80.27,-5.51,47242.5,-9.34
68,68,NSE_FO:NIFTY12JAN2317800PE [LOCAL],2023-01-12 10:04:00+05:30,de59677ee807485dbabccdf6a7f5b147,SELL,50,25.1,INTRADAY,MARKET,2023-01-12 11:54:00+05:30,e86266b1b42044109cf83f1c33453664,BUY,50,41.9,INTRADAY,MARKET,-840.0,-3597.5,-66.93,-7.2,46402.5,-10.95
69,69,NSE_FO:NIFTY12JAN2317850PE [LOCAL],2023-01-12 12:54:00+05:30,305fb7597299422c826f58df933c47ad,SELL,50,30.9,INTRADAY,MARKET,2023-01-12 13:12:00+05:30,60144eef77b249e1b56db21c4c320117,BUY,50,46.7,INTRADAY,MARKET,-790.0,-4387.5,-51.13,-8.77,45612.5,-12.46
70,70,NSE_FO:NIFTY12JAN2317900CE [LOCAL],2023-01-12 09:44:00+05:30,a430b8132bac4d0bb7f554200406719c,SELL,50,50.2,INTRADAY,MARKET,2023-01-12 13:36:00+05:30,a5f1b4c1db164f59ae2effc0975b1068,BUY,50,3.8,INTRADAY,MARKET,2320.0,-2067.5,92.43,-4.13,47932.5,-8.01
71,71,NSE_FO:NIFTY12JAN2317800CE [LOCAL],2023-01-12 13:36:00+05:30,cd6c3c7e5fb44a97a9e00aa2b45eca7e,SELL,50,19.55,INTRADAY,MARKET,2023-01-12 13:53:00+05:30,ea5dd5e67fc04b56a2a235f1c424de94,BUY,50,25.3,INTRADAY,MARKET,-287.5,-2355.0,-29.41,-4.71,47645.0,-8.56
