,id,strategy,INST,EN_TIME,EN_TT,EN_Q,EN_PRICE,EX_TIME,EX_TT,EX_Q,EX_PRICE,P&L,P&L%,pnl_cumulative_absolute,pnl_cumulative_percentage,Equity Curve,Drawdown %
33,1667350,870,NSE_FO:BANKNIFTY2450848900PE,06-05-2024 13:45,1,15,221.45,06-05-2024 14:30,0.0,15.0,248.6,-407.25,-12.26,74977.55,45.44,239977.55,-17.91
34,1667349,870,NSE_FO:BANKNIFTY2450849000CE,06-05-2024 12:45,1,15,365.85,06-05-2024 13:45,0.0,15.0,332.55,499.5,9.1,75384.8,45.69,240384.8,-17.77
35,1667347,870,NSE_FO:BANKNIFTY2450849100PE,06-05-2024 12:15,1,15,240.85,06-05-2024 12:45,0.0,15.0,299.15,-874.5,-24.21,74885.3,45.39,239885.3,-17.94
36,1667346,870,NSE_FO:BANKNIFTY2450849100CE,06-05-2024 11:15,1,15,394.2,06-05-2024 12:15,0.0,15.0,373.7,307.5,5.2,75759.8,45.92,240759.8,-17.64
37,1667342,870,NSE_FO:BANKNIFTY2450849200PE,06-05-2024 10:45,1,15,259.0,06-05-2024 11:15,0.0,15.0,287.0,-420.0,-10.81,75452.3,45.73,240452.3,-17.75
38,1666762,870,NSE_FO:BANKNIFTY2450849400CE,03-05-2024 10:00,1,15,418.85,03-05-2024 10:45,0.0,15.0,285.52,1999.95,31.83,75872.3,45.98,240872.3,-17.6
39,1666298,870,NSE_FO:BANKNIFTY2450849300CE,02-05-2024 14:15,1,15,400.1,02-05-2024 15:10,0.0,15.0,386.3,207.0,3.45,73872.35,44.77,238872.35,-18.29
40,1666296,870,NSE_FO:BANKNIFTY2450849300PE,02-05-2024 13:30,1,15,367.5,02-05-2024 14:15,0.0,15.0,384.75,-258.75,-4.69,73665.35,44.65,238665.35,-18.36
41,1666294,870,NSE_FO:BANKNIFTY2450849200CE,02-05-2024 13:00,1,15,449.0,02-05-2024 13:30,0.0,15.0,483.3,-514.5,-7.64,73924.1,44.8,238924.1,-18.27
42,1666289,870,NSE_FO:BANKNIFTY2450849300PE,02-05-2024 11:45,1,15,404.0,02-05-2024 13:00,0.0,15.0,411.4,-111.0,-1.83,74438.6,45.11,239438.6,-18.09
43,1666287,870,NSE_FO:BANKNIFTY2450849400CE,02-05-2024 11:00,1,15,422.7,02-05-2024 11:45,0.0,15.0,364.2,877.5,13.84,74549.6,45.18,239549.6,-18.06
44,1666282,870,NSE_FO:BANKNIFTY2450849400PE,02-05-2024 09:45,1,15,396.65,02-05-2024 11:00,0.0,15.0,380.6,240.75,4.05,73672.1,44.65,238672.1,-18.36
45,1665576,870,NSE_FO:BANKNIFTY2443049400CE,30-04-2024 09:30,1,15,153.75,30-04-2024 10:00,0.0,15.0,287.08,-1999.95,-86.72,73431.35,44.5,238431.35,-18.44
46,1665097,870,NSE_FO:BANKNIFTY2443048700CE,29-04-2024 11:00,1,15,271.1,29-04-2024 11:30,0.0,15.0,335.78,-970.2,-23.86,75431.3,45.72,240431.3,-17.75
47,1665094,870,NSE_FO:BANKNIFTY2443048700PE,29-04-2024 10:30,1,15,187.25,29-04-2024 11:00,0.0,15.0,175.1,182.25,6.49,76401.5,46.3,241401.5,-17.42
48,1665092,870,NSE_FO:BANKNIFTY2443048600CE,29-04-2024 10:15,1,15,224.75,29-04-2024 10:30,0.0,15.0,305.55,-1212.0,-35.95,76219.25,46.19,241219.25,-17.48
49,1664688,870,NSE_FO:BANKNIFTY2443048300PE,26-04-2024 14:30,1,15,263.6,26-04-2024 15:10,0.0,15.0,268.45,-72.75,-1.84,77431.25,46.93,242431.25,-17.07
50,1664686,870,NSE_FO:BANKNIFTY2443048400CE,26-04-2024 13:30,1,15,273.85,26-04-2024 14:30,0.0,15.0,254.1,296.25,7.21,77504.0,46.97,242504.0,-17.05
51,1664682,870,NSE_FO:BANKNIFTY2443048400PE,26-04-2024 11:30,1,15,278.35,26-04-2024 13:30,0.0,15.0,293.6,-228.75,-5.48,77207.75,46.79,242207.75,-17.15
52,1664681,870,NSE_FO:BANKNIFTY2443048500CE,26-04-2024 10:15,1,15,291.7,26-04-2024 11:30,0.0,15.0,255.15,548.25,12.53,77436.5,46.93,242436.5,-17.07
53,1664679,870,NSE_FO:BANKNIFTY2443048600PE,26-04-2024 09:45,1,15,288.95,26-04-2024 10:15,0.0,15.0,365.25,-1144.5,-26.41,76888.25,46.6,241888.25,-17.26
54,1664189,870,NSE_FO:BANKNIFTY2443048600CE,25-04-2024 15:00,1,15,324.5,25-04-2024 15:10,0.0,15.0,324.5,0.0,0.0,78032.75,47.29,243032.75,-16.86
55,1664184,870,NSE_FO:BANKNIFTY2443048600PE,25-04-2024 14:30,1,15,357.55,25-04-2024 15:00,0.0,15.0,335.25,334.5,6.24,78032.75,47.29,243032.75,-16.86
56,1664182,870,NSE_FO:BANKNIFTY2443048400CE,25-04-2024 14:00,1,15,357.15,25-04-2024 14:30,0.0,15.0,435.25,-1171.5,-21.87,77698.25,47.09,242698.25,-16.98
57,1664181,870,NSE_FO:BANKNIFTY2443048200PE,25-04-2024 12:45,1,15,281.5,25-04-2024 14:00,0.0,15.0,240.8,610.5,14.46,78869.75,47.8,243869.75,-16.58
