,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
0,1696298,1234,NSE_FO:BANKNIFTY2472452300PE,22-07-2024 12:27,1,15,610.65,22-07-2024 15:15,0,15,564.85,687.0,7.5,527010.5,234.23,752010.5,-0.27
1,1696297,1234,NSE_FO:BANKNIFTY2472452100CE,22-07-2024 12:27,1,15,558.4,22-07-2024 15:15,0,15,605.1,-700.5,-8.36,526323.5,233.92,751323.5,-0.36
2,1696289,1234,NSE_FO:BANKNIFTY2472452500PE,22-07-2024 10:34,1,15,598.8,22-07-2024 12:27,0,15,728.0,-1938.0,-21.58,527024.0,234.23,752024.0,-0.27
3,1696288,1234,NSE_FO:BANKNIFTY2472452300CE,22-07-2024 10:34,1,15,591.75,22-07-2024 12:27,0,15,463.95,1917.0,21.6,528962.0,235.09,753962.0,-0.01
4,1696282,1234,NSE_FO:BANKNIFTY2472452300PE,22-07-2024 09:38,1,15,604.9,22-07-2024 10:34,0,15,495.9,1635.0,18.02,527045.0,234.24,752045.0,-0.27
5,1696281,1234,NSE_FO:BANKNIFTY2472452100CE,22-07-2024 09:38,1,15,612.25,22-07-2024 10:34,0,15,702.75,-1357.5,-14.78,525410.0,233.52,750410.0,-0.48
6,1696277,1234,NSE_FO:BANKNIFTY2472452100PE,22-07-2024 09:18,1,15,613.35,22-07-2024 09:38,0,15,504.6,1631.25,17.73,526767.5,234.12,751767.5,-0.3
7,1696276,1234,NSE_FO:BANKNIFTY2472451900CE,22-07-2024 09:18,1,15,645.3,22-07-2024 09:38,0,15,724.05,-1181.25,-12.2,525136.25,233.39,750136.25,-0.52
8,1695784,1234,NSE_FO:BANKNIFTY2472452500PE,19-07-2024 11:26,1,15,653.35,19-07-2024 15:15,0,15,684.7,-470.25,-4.8,526317.5,233.92,751317.5,-0.36
9,1695783,1234,NSE_FO:BANKNIFTY2472452300CE,19-07-2024 11:26,1,15,558.8,19-07-2024 15:15,0,15,547.15,174.75,2.08,526787.75,234.13,751787.75,-0.3
10,1695779,1234,NSE_FO:BANKNIFTY2472452200PE,19-07-2024 11:01,1,15,615.5,19-07-2024 11:26,0,15,498.15,1760.25,19.07,526613.0,234.05,751613.0,-0.32
11,1695778,1234,NSE_FO:BANKNIFTY2472452000CE,19-07-2024 11:01,1,15,641.9,19-07-2024 11:26,0,15,722.45,-1208.25,-12.55,524852.75,233.27,749852.75,-0.56
12,1695773,1234,NSE_FO:BANKNIFTY2472452500PE,19-07-2024 09:18,1,15,590.45,19-07-2024 11:01,0,15,789.3,-2982.75,-33.68,526061.0,233.8,751061.0,-0.4
13,1695772,1234,NSE_FO:BANKNIFTY2472452300CE,19-07-2024 09:18,1,15,644.0,19-07-2024 11:01,0,15,496.4,2214.0,22.92,529043.75,235.13,754043.75,0.0
14,1695453,1234,NSE_FO:BANKNIFTY2472452800PE,18-07-2024 14:04,1,15,601.0,18-07-2024 15:15,0,15,640.95,-599.25,-6.65,526829.75,234.15,751829.75,-0.23
15,1695452,1234,NSE_FO:BANKNIFTY2472452600CE,18-07-2024 14:04,1,15,636.15,18-07-2024 15:15,0,15,579.3,852.75,8.94,527429.0,234.41,752429.0,-0.15
16,1695441,1234,NSE_FO:BANKNIFTY2472452600PE,18-07-2024 13:11,1,15,596.0,18-07-2024 14:04,0,15,505.2,1362.0,15.23,526576.25,234.03,751576.25,-0.26
17,1695437,1234,NSE_FO:BANKNIFTY2472452400CE,18-07-2024 13:11,1,15,618.55,18-07-2024 14:04,0,15,750.65,-1981.5,-21.36,525214.25,233.43,750214.25,-0.44
18,1695425,1234,NSE_FO:BANKNIFTY2472452400PE,18-07-2024 11:16,1,15,594.05,18-07-2024 13:11,0,15,495.3,1481.25,16.62,527195.75,234.31,752195.75,-0.18
19,1695424,1234,NSE_FO:BANKNIFTY2472452200CE,18-07-2024 11:16,1,15,636.25,18-07-2024 13:11,0,15,731.0,-1421.25,-14.89,525714.5,233.65,750714.5,-0.38
20,1695398,1234,NSE_FO:BANKNIFTY2472452600PE,18-07-2024 09:47,1,15,608.5,18-07-2024 11:16,0,15,703.9,-1431.0,-15.68,527135.75,234.28,752135.75,-0.19
21,1695204,1234,NSE_FO:BANKNIFTY2472452400CE,18-07-2024 09:47,1,15,672.65,18-07-2024 11:16,0,15,534.7,2069.25,20.51,528566.75,234.92,753566.75,0.0
22,1695197,1234,NSE_FO:BANKNIFTY2472452400PE,18-07-2024 09:18,1,15,622.05,18-07-2024 09:47,0,15,511.85,1653.0,17.72,526497.5,234.0,751497.5,0.0
23,1695196,1234,NSE_FO:BANKNIFTY2472452200CE,18-07-2024 09:18,1,15,676.75,18-07-2024 09:47,0,15,785.55,-1632.0,-16.08,524844.5,233.26,749844.5,-0.22
24,1694440,1234,NSE_FO:BANKNIFTY2471652500PE,16-07-2024 09:55,1,15,257.55,16-07-2024 15:15,0,15,94.0,2453.25,63.5,526476.5,233.99,751476.5,0.0
25,1694438,1234,NSE_FO:BANKNIFTY2471652300CE,16-07-2024 09:55,1,15,177.35,16-07-2024 15:15,0,15,106.6,1061.25,39.89,524023.25,232.9,749023.25,-0.24
26,1694429,1234,NSE_FO:BANKNIFTY2471652700PE,16-07-2024 09:18,1,15,231.75,16-07-2024 09:55,0,15,411.6,-2697.75,-77.61,522962.0,232.43,747962.0,-0.38
27,1694428,1234,NSE_FO:BANKNIFTY2471652500CE,16-07-2024 09:18,1,15,239.55,16-07-2024 09:55,0,15,89.2,2255.25,62.76,525659.75,233.63,750659.75,-0.03
28,1693976,1234,NSE_FO:BANKNIFTY2471652700PE,15-07-2024 13:21,1,15,303.8,15-07-2024 15:15,0,15,285.75,270.75,5.94,523404.5,232.62,748404.5,-0.33
29,1693974,1234,NSE_FO:BANKNIFTY2471652500CE,15-07-2024 13:21,1,15,254.75,15-07-2024 15:15,0,15,228.25,397.5,10.4,523133.75,232.5,748133.75,-0.36
30,1693969,1234,NSE_FO:BANKNIFTY2471652500PE,15-07-2024 09:18,1,15,316.6,15-07-2024 13:21,0,15,200.45,1742.25,36.69,522736.25,232.33,747736.25,-0.41
31,1693968,1234,NSE_FO:BANKNIFTY2471652300CE,15-07-2024 09:18,1,15,295.7,15-07-2024 13:21,0,15,383.2,-1312.5,-29.59,520994.0,231.55,745994.0,-0.65
32,1693499,1234,NSE_FO:BANKNIFTY2471652400PE,12-07-2024 15:01,1,15,299.55,12-07-2024 15:15,0,15,349.2,-744.75,-16.57,522306.5,232.14,747306.5,-0.47
33,1693498,1234,NSE_FO:BANKNIFTY2471652200CE,12-07-2024 15:01,1,15,379.2,12-07-2024 15:15,0,15,303.6,1134.0,19.94,523051.25,232.47,748051.25,-0.37
34,1693493,1234,NSE_FO:BANKNIFTY2471652700PE,12-07-2024 11:22,1,15,356.75,12-07-2024 15:01,0,15,476.15,-1791.0,-33.47,521917.25,231.96,746917.25,-0.52
35,1693491,1234,NSE_FO:BANKNIFTY2471652500CE,12-07-2024 11:22,1,15,341.85,12-07-2024 15:01,0,15,221.1,1811.25,35.32,523708.25,232.76,748708.25,-0.29
36,1693485,1234,NSE_FO:BANKNIFTY2471652900PE,12-07-2024 11:05,1,15,390.0,12-07-2024 11:22,0,15,478.7,-1330.5,-22.74,521897.0,231.95,746897.0,-0.53
37,1693484,1234,NSE_FO:BANKNIFTY2471652700CE,12-07-2024 11:05,1,15,373.65,12-07-2024 11:22,0,15,238.0,2034.75,36.3,523227.5,232.55,748227.5,-0.35
38,1693478,1234,NSE_FO:BANKNIFTY2471652600PE,12-07-2024 10:59,1,15,322.55,12-07-2024 11:05,0,15,254.2,1025.25,21.19,521192.75,231.64,746192.75,-0.62
39,1693477,1234,NSE_FO:BANKNIFTY2471652400CE,12-07-2024 10:59,1,15,363.5,12-07-2024 11:05,0,15,564.0,-3007.5,-55.16,520167.5,231.19,745167.5,-0.76
40,1693470,1234,NSE_FO:BANKNIFTY2471652400PE,12-07-2024 09:18,1,15,372.5,12-07-2024 10:59,0,15,230.7,2127.0,38.07,523175.0,232.52,748175.0,-0.36
41,1693469,1234,NSE_FO:BANKNIFTY2471652200CE,12-07-2024 09:18,1,15,345.8,12-07-2024 10:59,0,15,493.0,-2208.0,-42.57,521048.0,231.58,746048.0,-0.64
42,1693023,1234,NSE_FO:BANKNIFTY2471652200PE,11-07-2024 14:01,1,15,307.5,11-07-2024 15:15,0,15,235.0,1087.5,23.58,523256.0,232.56,748256.0,-0.35
43,1693022,1234,NSE_FO:BANKNIFTY2471652000CE,11-07-2024 14:01,1,15,461.1,11-07-2024 15:15,0,15,572.45,-1670.25,-24.15,522168.5,232.07,747168.5,-0.49
