,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
0,488806,953,NSE_FO:BANKNIFTY06JAN2235200PE,03-01-2022 09:20,0,25,148.05,03-01-2022 15:01,1,25,43.55,-2612.5,-70.58,-2612.5,104.08,72387.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,488804,953,NSE_FO:BANKNIFTY06JAN2235700CE,03-01-2022 09:20,1,25,341.2,03-01-2022 15:01,0,25,826.3,-12127.5,-142.17,-14740.0,89.6,60260.0,-16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,488802,953,NSE_FO:BANKNIFTY06JAN2236200CE,03-01-2022 09:20,0,25,137.7,03-01-2022 15:01,1,25,454.45,7918.75,230.03,-6821.25,107.57,68178.75,-5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,488774,953,NSE_FO:BANKNIFTY06JAN2235700PE,03-01-2022 09:20,1,25,321.95,03-01-2022 15:01,0,25,99.8,5553.75,69.0,-1267.5,97.01,73732.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,489185,953,NSE_FO:BANKNIFTY06JAN2236000PE,04-01-2022 09:20,0,25,103.5,04-01-2022 15:01,1,25,44.35,-1478.75,-57.15,-2746.25,104.1,72253.75,-2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,489181,953,NSE_FO:BANKNIFTY06JAN2236500CE,04-01-2022 09:20,1,25,311.3,04-01-2022 15:01,0,25,415.0,-2592.5,-33.31,-5338.75,100.63,69661.25,-5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,489179,953,NSE_FO:BANKNIFTY06JAN2237000CE,04-01-2022 09:20,0,25,118.25,04-01-2022 15:01,1,25,144.1,646.25,21.86,-4692.5,106.07,70307.5,-4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,489178,953,NSE_FO:BANKNIFTY06JAN2236500PE,04-01-2022 09:20,1,25,266.3,04-01-2022 15:01,0,25,128.75,3438.75,51.65,-1253.75,105.21,73746.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,489531,953,NSE_FO:BANKNIFTY06JAN2236600PE,05-01-2022 09:20,0,25,80.9,05-01-2022 12:36,1,25,24.8,-1402.5,-69.34,-2656.25,101.4,72343.75,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,489527,953,NSE_FO:BANKNIFTY06JAN2237100CE,05-01-2022 09:20,1,25,183.2,05-01-2022 12:36,0,25,576.0,-9820.0,-214.41,-12476.25,91.01,62523.75,-15.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
