,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,date,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,271039,511,NSE_FO:BANKNIFTY02JUL2021700CE,07-01-2020 11:45,1,25,265.4,01-07-2020 15:30,0,25,342.65,-1931.25,-29.11,-1931.25,-1.23,155068.75,0.0,01-07-2020,0,0.0,1,-1931.25,0.0,,,,01-07-2020,1.0,-1931.25
1,271043,511,NSE_FO:BANKNIFTY02JUL2021900CE,07-02-2020 09:15,1,25,219.0,02-07-2020 15:30,0,25,57.9,4027.5,73.56,2096.25,1.34,159096.25,0.0,02-07-2020,1,4027.5,0,0.0,0.0,,,,02-07-2020,1.0,4027.5
2,271057,511,NSE_FO:BANKNIFTY09JUL2022000PE,07-03-2020 09:15,1,25,466.0,03-07-2020 12:15,0,25,453.9,302.5,2.6,2398.75,1.53,159398.75,0.0,03-07-2020,2,4330.0,0,0.0,0.0,,,,03-07-2020,3.0,2423.75
3,271121,511,NSE_FO:BANKNIFTY09JUL2022000CE,07-03-2020 12:15,1,25,442.15,03-07-2020 14:00,0,25,371.5,1766.25,15.98,4165.0,2.65,161165.0,0.0,03-07-2020,3,6096.25,0,0.0,0.0,,,,06-07-2020,2.0,1710.0
4,271129,511,NSE_FO:BANKNIFTY09JUL2021800PE,07-03-2020 14:00,1,25,401.2,03-07-2020 15:30,0,25,387.0,355.0,3.54,4520.0,2.88,161520.0,0.0,03-07-2020,4,6451.25,0,0.0,0.0,,,,07-07-2020,2.0,-1382.5
5,271154,511,NSE_FO:BANKNIFTY09JUL2022300CE,07-06-2020 13:15,1,25,368.0,06-07-2020 15:00,0,25,299.95,1701.25,18.49,6221.25,3.96,163221.25,0.0,06-07-2020,5,8152.5,0,0.0,0.0,,,,08-07-2020,1.0,4306.25
6,271171,511,NSE_FO:BANKNIFTY09JUL2022200PE,07-06-2020 15:00,1,25,311.35,06-07-2020 15:30,0,25,311.0,8.75,0.11,6230.0,3.97,163230.0,0.0,06-07-2020,6,8161.25,0,0.0,0.0,,,,09-07-2020,1.0,4713.75
7,271192,511,NSE_FO:BANKNIFTY09JUL2022100PE,07-07-2020 10:00,1,25,304.15,07-07-2020 12:45,0,25,213.35,2270.0,29.85,8500.0,5.41,165500.0,0.0,07-07-2020,7,10431.25,0,0.0,0.0,,,,10-07-2020,2.0,-2000.0
8,271195,511,NSE_FO:BANKNIFTY09JUL2022300CE,07-07-2020 12:45,1,25,302.9,07-07-2020 15:30,0,25,449.0,-3652.5,-48.23,4847.5,3.09,161847.5,-2.21,07-07-2020,0,0.0,1,-3652.5,-3652.5,,,,13-07-2020,1.0,4547.5
9,271205,511,NSE_FO:BANKNIFTY09JUL2022700CE,07-08-2020 09:45,1,25,301.25,08-07-2020 15:30,0,25,129.0,4306.25,57.18,9153.75,5.83,166153.75,0.0,08-07-2020,1,4306.25,0,0.0,0.0,,,,14-07-2020,1.0,1735.0
