,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
326,NSE_FO:BANKNIFTY24SEP2020500CE [LOCAL],24-09-2020 15:09,4aa156dc11254450ad996bbc22fa8ad4,SELL,15,25.7,INTRADAY,MARKET,24-09-2020 15:10,70028a550f7a4ca1bee79782f2e19aa6,BUY,15,16.6,INTRADAY,MARKET,136.5,27354.0,35.41,54.0,527354.0,-0.27
327,NSE_FO:BANKNIFTY01OCT2020600PE [LOCAL],25-09-2020 09:17,45ebbed8e9d9416a8aff97ca24a23435,SELL,15,423.0,INTRADAY,MARKET,25-09-2020 15:10,3babb40e67ea497f98f494ce410ae18f,BUY,15,201.65,INTRADAY,MARKET,3320.25,30674.25,52.33,57.17,530674.25,0.0
328,NSE_FO:BANKNIFTY01OCT2020600CE [LOCAL],25-09-2020 09:17,5879d45b0742451baf0fa4351af3692c,SELL,15,409.95,INTRADAY,MARKET,25-09-2020 14:11,db19f0f3591c47edaccf030029966640,BUY,15,549.15,INTRADAY,MARKET,-2088.0,28586.25,-33.96,50.53,528586.25,-0.39
329,NSE_FO:BANKNIFTY01OCT2021100CE [LOCAL],25-09-2020 14:11,6922724a94bd47519e4ae7ff0c4a00c3,SELL,15,280.0,INTRADAY,MARKET,25-09-2020 15:10,39225f75ea3f492d90fb0132abd62e29,BUY,15,292.45,INTRADAY,MARKET,-186.75,28399.5,-4.45,56.8,528399.5,-0.43
330,NSE_FO:BANKNIFTY01OCT2021100PE [LOCAL],28-09-2020 09:17,8b11e2ef056e4ff8a0ad2fbe82d79dac,SELL,15,304.45,INTRADAY,MARKET,28-09-2020 09:40,aa92d5ad69784065968f5b270b0db802,BUY,15,235.3,INTRADAY,MARKET,1037.25,29436.75,22.71,54.0,529436.75,-0.23
331,NSE_FO:BANKNIFTY01OCT2021100CE [LOCAL],28-09-2020 09:17,e304db55e1de4f1bb5bba2fb594bfab3,SELL,15,327.4,INTRADAY,MARKET,28-09-2020 09:39,327859978a284a939363bb9af85d99d7,BUY,15,490.0,INTRADAY,MARKET,-2439.0,26997.75,-49.66,51.92,526997.75,-0.69
332,NSE_FO:BANKNIFTY01OCT2021600CE [LOCAL],28-09-2020 09:39,32de6ab19ba54b81a08b64f062c4e506,SELL,15,225.95,INTRADAY,MARKET,28-09-2020 09:40,7b0d84adb3a341939e26558cfa6181b0,BUY,15,234.75,INTRADAY,MARKET,-132.0,26865.75,-3.89,53.73,526865.75,-0.72
333,NSE_FO:BANKNIFTY01OCT2021400PE [LOCAL],28-09-2020 09:40,d77296d829ba4ad2b513d6fcaf56652d,SELL,15,362.8,INTRADAY,MARKET,28-09-2020 15:10,7f5533375e984a789297efa310dfb3c7,BUY,15,153.6,INTRADAY,MARKET,3138.0,30003.75,57.66,56.46,530003.75,-0.13
334,NSE_FO:BANKNIFTY01OCT2021400CE [LOCAL],28-09-2020 09:40,815c4f7aa4c04266912d9163dcff2b02,SELL,15,327.4,INTRADAY,MARKET,28-09-2020 13:03,f7aca8a39c694d5887b2e828a73456a2,BUY,15,445.55,INTRADAY,MARKET,-1772.25,28231.5,-36.09,50.19,528231.5,-0.46
335,NSE_FO:BANKNIFTY01OCT2021800CE [LOCAL],28-09-2020 13:03,777b0babe96e4235a4c06b1df832f63d,SELL,15,229.6,INTRADAY,MARKET,28-09-2020 15:10,5a42ca6fb84040b6a48e61c03d5578a0,BUY,15,225.0,INTRADAY,MARKET,69.0,28300.5,2.0,56.6,528300.5,-0.45
336,NSE_FO:BANKNIFTY01OCT2021700PE [LOCAL],29-09-2020 09:17,cf5c98fe73cd439a80c3f0b8ece18b71,SELL,15,240.4,INTRADAY,MARKET,29-09-2020 09:48,6c52ae4cfaab4a8ca45feb223fcc07d4,BUY,15,380.3,INTRADAY,MARKET,-2098.5,26202.0,-58.19,52.4,526202.0,-0.84
337,NSE_FO:BANKNIFTY01OCT2021700CE [LOCAL],29-09-2020 09:17,26caf7d765d04163bd2a2f8e9021bbcd,SELL,15,281.65,INTRADAY,MARKET,29-09-2020 15:10,e00894811dbf48e1b07c8395ddb42b43,BUY,15,95.1,INTRADAY,MARKET,2798.25,29000.25,66.23,55.78,529000.25,-0.32
338,NSE_FO:BANKNIFTY01OCT2021300PE [LOCAL],29-09-2020 09:48,919c579746a94fada025bc85aef2b5a7,SELL,15,188.0,INTRADAY,MARKET,29-09-2020 15:10,8c93ddf2b2a946dea4303ee439357c34,BUY,15,162.0,INTRADAY,MARKET,390.0,29390.25,13.83,50.64,529390.25,-0.24
339,NSE_FO:BANKNIFTY01OCT2021400CE [LOCAL],29-09-2020 11:05,c3031c16661e440797ca23bb563c0c3a,SELL,15,213.0,INTRADAY,MARKET,29-09-2020 14:16,91623eac1b6649c6ad52427450d834e2,BUY,15,297.85,INTRADAY,MARKET,-1272.75,28117.5,-39.84,49.86,528117.5,-0.48
340,NSE_FO:BANKNIFTY01OCT2021400CE [LOCAL],29-09-2020 15:00,0a22ee0dd6a348d1a0feeeae43cb5b68,SELL,15,198.6,INTRADAY,MARKET,29-09-2020 15:10,0222671b89d6460c8585b4f9058c1847,BUY,15,213.65,INTRADAY,MARKET,-225.75,27891.75,-7.58,50.19,527891.75,-0.52
341,NSE_FO:BANKNIFTY01OCT2021300PE [LOCAL],30-09-2020 09:17,4a649e6e7ea640979c000fa3604945fc,SELL,15,218.1,INTRADAY,MARKET,30-09-2020 09:45,6abeb17575564e5392171cb2dfebeac6,BUY,15,253.9,INTRADAY,MARKET,-537.0,27354.75,-16.41,54.71,527354.75,-0.63
342,NSE_FO:BANKNIFTY01OCT2021300CE [LOCAL],30-09-2020 09:17,1788399310b34c4d95ce9dbde4bed0f8,SELL,15,175.3,INTRADAY,MARKET,30-09-2020 14:15,c6ab7658fbf54b44bfd268eb0c6627bc,BUY,15,288.15,INTRADAY,MARKET,-1692.75,25662.0,-64.38,51.32,525662.0,-0.94
343,NSE_FO:BANKNIFTY01OCT2021000PE [LOCAL],30-09-2020 09:45,849fa8a6507042329d5ce4204eb4bfe9,SELL,15,110.5,INTRADAY,MARKET,30-09-2020 15:10,440bfc00bd29486396b7312863caff39,BUY,15,33.5,INTRADAY,MARKET,1155.0,26817.0,69.68,57.35,526817.0,-0.73
344,NSE_FO:BANKNIFTY01OCT2021400PE [LOCAL],30-09-2020 10:30,4822739e8fa6447484cec99ea4c699c4,SELL,15,216.85,INTRADAY,MARKET,30-09-2020 15:10,670e00eb19de4bc9b53e3f16c71fe355,BUY,15,132.65,INTRADAY,MARKET,1263.0,28080.0,38.83,53.85,528080.0,-0.49
345,NSE_FO:BANKNIFTY01OCT2021600CE [LOCAL],30-09-2020 14:15,f590f15b2a3e4ad5b677f5166a1e377d,SELL,15,118.55,INTRADAY,MARKET,30-09-2020 15:10,fc47eb65737342d0a9cf2ad9701c7c1d,BUY,15,78.75,INTRADAY,MARKET,597.0,28677.0,33.57,55.04,528677.0,-0.38
346,NSE_FO:BANKNIFTY01OCT2021700PE [LOCAL],01-10-2020 09:17,d48dc7c5af304d95b371197410cfb377,SELL,15,92.95,INTRADAY,MARKET,01-10-2020 10:42,653148bc64204e77bf32243361abbdb0,BUY,15,18.35,INTRADAY,MARKET,1119.0,29796.0,80.26,56.34,529796.0,-0.17
347,NSE_FO:BANKNIFTY01OCT2021700CE [LOCAL],01-10-2020 09:17,3fc45f5e94dd4fe08c3ea28fc1e45f4e,SELL,15,122.85,INTRADAY,MARKET,01-10-2020 09:20,b6b7db5fa32b41afbd7737afe927f18e,BUY,15,151.4,INTRADAY,MARKET,-428.25,29367.75,-23.24,56.5,529367.75,-0.25
348,NSE_FO:BANKNIFTY01OCT2021900CE [LOCAL],01-10-2020 09:20,4e37bf8e402a49089c6f97e584f6ae75,SELL,15,55.1,INTRADAY,MARKET,01-10-2020 10:28,572dc8b8e0464843aa00678ff13f2927,BUY,15,134.85,INTRADAY,MARKET,-1196.25,28171.5,-144.74,54.11,528171.5,-0.47
349,NSE_FO:BANKNIFTY01OCT2021900PE [LOCAL],01-10-2020 09:27,53767945cb5d4846926205ec0ec385f8,SELL,15,115.5,INTRADAY,MARKET,01-10-2020 14:14,82e5fc295fff40bdadcbcdd98bf1208f,BUY,15,3.5,INTRADAY,MARKET,1680.0,29851.5,96.97,57.38,529851.5,-0.16
350,NSE_FO:BANKNIFTY01OCT2022000CE [LOCAL],01-10-2020 10:28,c25cf3787552480ab8857f46e8c1c401,SELL,15,78.5,INTRADAY,MARKET,01-10-2020 12:42,aad1fb40e3124eec81273595f2b7abeb,BUY,15,148.0,INTRADAY,MARKET,-1042.5,28809.0,-88.54,54.26,528809.0,-0.35
351,NSE_FO:BANKNIFTY01OCT2022100PE [LOCAL],01-10-2020 10:42,1fca41dba7d245e6b292340cb18f575b,SELL,15,133.4,INTRADAY,MARKET,01-10-2020 15:10,b2f03531fd6f4e538cabb2fd25bad472,BUY,15,0.35,INTRADAY,MARKET,1995.75,30804.75,99.74,62.61,530804.75,0.0
352,NSE_FO:BANKNIFTY01OCT2022100CE [LOCAL],01-10-2020 12:42,4d8b958e735240d3946deaa0ded7a3e8,SELL,15,80.7,INTRADAY,MARKET,01-10-2020 14:03,4bfef0c3e4814427946e33b9bcf136b7,BUY,15,88.55,INTRADAY,MARKET,-117.75,30687.0,-9.73,54.02,530687.0,-0.02
353,NSE_FO:BANKNIFTY01OCT2022200CE [LOCAL],01-10-2020 14:03,8d95f276b7b44418b6f56aa710903cc3,SELL,15,35.0,INTRADAY,MARKET,01-10-2020 14:16,48d6cf2a958f43aa888b7d6594f4c193,BUY,15,88.0,INTRADAY,MARKET,-795.0,29892.0,-151.43,55.79,529892.0,-0.17
354,NSE_FO:BANKNIFTY01OCT2022200PE [LOCAL],01-10-2020 14:14,2314a7ef591040bc88c2ecf287e6e789,SELL,15,60.7,INTRADAY,MARKET,01-10-2020 15:10,081c297ed52642d092d3869277fced55,BUY,15,2.2,INTRADAY,MARKET,877.5,30769.5,96.38,57.55,530769.5,-0.01
355,NSE_FO:BANKNIFTY01OCT2022300CE [LOCAL],01-10-2020 14:16,2886db2557524c0c9f470b72843edc13,SELL,15,37.0,INTRADAY,MARKET,01-10-2020 15:10,bddd4438cdb14160b1487ff69f3bf7b2,BUY,15,1.35,INTRADAY,MARKET,534.75,31304.25,96.35,58.62,531304.25,0.0
356,NSE_FO:BANKNIFTY08OCT2022500PE [LOCAL],05-10-2020 09:17,3b86070468db434a915862617752193c,SELL,15,335.65,INTRADAY,MARKET,05-10-2020 13:27,eff29a32a314419e98bad0eab9400958,BUY,15,450.7,INTRADAY,MARKET,-1725.75,29578.5,-34.28,55.26,529578.5,-0.32
357,NSE_FO:BANKNIFTY08OCT2022500CE [LOCAL],05-10-2020 09:17,4c2aa58c154945f38550fa606a7640c1,SELL,15,380.25,INTRADAY,MARKET,05-10-2020 09:46,7f1b3f69894d402ca337fb76194fdba2,BUY,15,510.05,INTRADAY,MARKET,-1947.0,27631.5,-34.14,58.71,527631.5,-0.69
358,NSE_FO:BANKNIFTY08OCT2023000CE [LOCAL],05-10-2020 09:46,550179b7594d4e3c91e73d3f281f421c,SELL,15,254.8,INTRADAY,MARKET,05-10-2020 15:10,f1ad3474da184b1ab887d626f20b878b,BUY,15,97.65,INTRADAY,MARKET,2357.25,29988.75,61.68,63.69,529988.75,-0.25
359,NSE_FO:BANKNIFTY08OCT2022500CE [LOCAL],05-10-2020 13:00,51cb463f0aaf4d1db3a65cfae7292ecb,SELL,15,319.8,INTRADAY,MARKET,05-10-2020 15:10,c55103380330484eb483d4d88723065d,BUY,15,259.5,INTRADAY,MARKET,904.5,30893.25,18.86,58.97,530893.25,-0.08
360,NSE_FO:BANKNIFTY08OCT2022000PE [LOCAL],05-10-2020 13:27,55285f261fd94ede8daae003577e9562,SELL,15,212.5,INTRADAY,MARKET,05-10-2020 15:10,eaf451afef6c4c7bbf38acb92d071c2c,BUY,15,149.15,INTRADAY,MARKET,950.25,31843.5,29.81,57.16,531843.5,0.0
361,NSE_FO:BANKNIFTY08OCT2022800PE [LOCAL],06-10-2020 09:17,7076f61e084b4dec8ccc6c92d783a8b7,SELL,15,307.0,INTRADAY,MARKET,06-10-2020 09:31,78eb6ecbdddf40faa72c1265755c716d,BUY,15,405.05,INTRADAY,MARKET,-1470.75,30372.75,-31.94,60.75,530372.75,-0.28
362,NSE_FO:BANKNIFTY08OCT2022800CE [LOCAL],06-10-2020 09:17,239fe4f521ce4718b2565502fa3d663b,SELL,15,266.15,INTRADAY,MARKET,06-10-2020 15:10,e97a75e50c4045ddbd406053b4e2185f,BUY,15,272.15,INTRADAY,MARKET,-90.0,30282.75,-2.25,61.0,530282.75,-0.29
363,NSE_FO:BANKNIFTY08OCT2022300PE [LOCAL],06-10-2020 09:31,f0778c43ed604beb880c80ebec5e86ab,SELL,15,166.8,INTRADAY,MARKET,06-10-2020 15:10,ffee84c53c044c9abc7d53e20902cfc6,BUY,15,54.95,INTRADAY,MARKET,1677.75,31960.5,67.06,64.35,531960.5,0.0
364,NSE_FO:BANKNIFTY08OCT2022900PE [LOCAL],06-10-2020 14:40,7e009582b94c4fc5981dd4652bf59282,SELL,15,250.35,INTRADAY,MARKET,06-10-2020 15:10,d493012777294f3da4f9942b3d8cf8ef,BUY,15,235.9,INTRADAY,MARKET,216.75,32177.25,5.77,61.18,532177.25,0.0
365,NSE_FO:BANKNIFTY08OCT2022700PE [LOCAL],07-10-2020 09:17,4903e53ea439495d879b81e403c43cda,SELL,15,205.35,INTRADAY,MARKET,07-10-2020 15:10,494094155d6f40adb52692d39e3b8dd9,BUY,15,75.4,INTRADAY,MARKET,1949.25,34126.5,63.28,64.3,534126.5,0.0
366,NSE_FO:BANKNIFTY08OCT2022700CE [LOCAL],07-10-2020 09:17,ca4997609fdc4318a19e260bb2df34d7,SELL,15,242.0,INTRADAY,MARKET,07-10-2020 09:54,db8367e5675742af82c06c58db0ca6af,BUY,15,373.85,INTRADAY,MARKET,-1977.75,32148.75,-54.48,60.4,532148.75,-0.37
367,NSE_FO:BANKNIFTY08OCT2023200CE [LOCAL],07-10-2020 09:54,038d3f60b6c64c3c814cbec27b097f62,SELL,15,120.8,INTRADAY,MARKET,07-10-2020 15:10,a13c2ccb52c74b01b996c50ddc76c33d,BUY,15,87.5,INTRADAY,MARKET,499.5,32648.25,27.57,65.3,532648.25,-0.28
368,NSE_FO:BANKNIFTY08OCT2023200PE [LOCAL],08-10-2020 09:17,e0521fc364454c9b8589d693642cadfa,SELL,15,158.1,INTRADAY,MARKET,08-10-2020 13:57,247d992e86c243d9825827049275eae9,BUY,15,48.25,INTRADAY,MARKET,1647.75,34296.0,69.48,66.0,534296.0,0.0
369,NSE_FO:BANKNIFTY08OCT2023200CE [LOCAL],08-10-2020 09:17,dea8f0d6566d4b5aa5af39daefaf1bf5,SELL,15,125.0,INTRADAY,MARKET,08-10-2020 10:17,5bb65bff369840c598d84b1a0e957c2b,BUY,15,165.45,INTRADAY,MARKET,-606.75,33689.25,-32.36,64.08,533689.25,-0.11
370,NSE_FO:BANKNIFTY08OCT2023400CE [LOCAL],08-10-2020 10:17,289033b4637f417cba546d2bcde44a79,SELL,15,63.45,INTRADAY,MARKET,08-10-2020 13:28,242452a7c18e4a36be01240d97944b3b,BUY,15,83.6,INTRADAY,MARKET,-302.25,33387.0,-31.76,63.48,533387.0,-0.17
371,NSE_FO:BANKNIFTY08OCT2023300PE [LOCAL],08-10-2020 11:30,87a64bafa02f4447899a9e5f3f1806c3,SELL,15,66.25,INTRADAY,MARKET,08-10-2020 13:57,e6be3ea254e54b9cbf1a91b2983d2eaa,BUY,15,92.2,INTRADAY,MARKET,-389.25,32997.75,-39.17,62.7,532997.75,-0.24
372,NSE_FO:BANKNIFTY08OCT2023600CE [LOCAL],08-10-2020 13:28,5d536faabf614b4588d407776fec8b5b,SELL,15,14.9,INTRADAY,MARKET,08-10-2020 13:57,5ffbc081c16846ef9f889679519a4814,BUY,15,2.95,INTRADAY,MARKET,179.25,33177.0,80.2,66.35,533177.0,-0.21
373,NSE_FO:BANKNIFTY08OCT2023200CE [LOCAL],08-10-2020 13:57,48595b13d37d4cfaaf2b4879b1f011a4,SELL,15,94.35,INTRADAY,MARKET,08-10-2020 13:57,6979a0aa538a41c48eaf2a6d97d7019e,BUY,15,94.35,INTRADAY,MARKET,0.0,33177.0,0.0,62.7,533177.0,-0.21
374,NSE_FO:BANKNIFTY08OCT2023200PE [LOCAL],08-10-2020 13:57,0d5079d2ffec478db008f8d567de09d4,SELL,15,48.25,INTRADAY,MARKET,08-10-2020 14:32,27eb399cbe8c493991d83dda8205a98e,BUY,15,67.25,INTRADAY,MARKET,-285.0,32892.0,-39.38,64.73,532892.0,-0.26
375,NSE_FO:BANKNIFTY08OCT2023200CE [LOCAL],08-10-2020 13:57,d21cbe1968304ca591aa7cd3cdf05e20,SELL,15,94.35,INTRADAY,MARKET,08-10-2020 13:58,cb8df4eaa1c543f192e65dc14cebf412,BUY,15,106.75,INTRADAY,MARKET,-186.0,32706.0,-13.14,65.98,532706.0,-0.3
376,NSE_FO:BANKNIFTY08OCT2023300CE [LOCAL],08-10-2020 13:58,03e3953bc5434fecbc7bc65138ed7fec,SELL,15,52.5,INTRADAY,MARKET,08-10-2020 14:13,18328c267ad54e04807205334ca35fc4,BUY,15,69.15,INTRADAY,MARKET,-249.75,32456.25,-31.71,65.48,532456.25,-0.34
377,NSE_FO:BANKNIFTY08OCT2023300PE [LOCAL],08-10-2020 14:12,e1b66b358a694238b62abfb77141e774,SELL,15,41.7,INTRADAY,MARKET,08-10-2020 14:26,7b848405a4a94da38492ca9fa6369870,BUY,15,70.45,INTRADAY,MARKET,-431.25,32025.0,-68.94,64.62,532025.0,-0.43
378,NSE_FO:BANKNIFTY08OCT2023400CE [LOCAL],08-10-2020 14:13,ab11166042694ede9ae1cdd02cc5635e,SELL,15,25.3,INTRADAY,MARKET,08-10-2020 14:31,150fb2577a1044759247ef590f26956a,BUY,15,2.55,INTRADAY,MARKET,341.25,32366.25,89.92,65.3,532366.25,-0.36
379,NSE_FO:BANKNIFTY08OCT2023300CE [LOCAL],08-10-2020 14:16,f218399a49304d3a96e4d414a7a3da0b,SELL,15,57.65,INTRADAY,MARKET,08-10-2020 14:36,72a07b88174e460abb89d26576c9e87f,BUY,15,3.35,INTRADAY,MARKET,814.5,33180.75,94.19,66.36,533180.75,-0.21
380,NSE_FO:BANKNIFTY08OCT2023200CE [LOCAL],08-10-2020 14:31,ed918197ad604b728b31df2e6b9e0c3b,SELL,15,37.3,INTRADAY,MARKET,08-10-2020 15:10,fdd745abfe3e4770a299bcb6a3391384,BUY,15,4.95,INTRADAY,MARKET,485.25,33666.0,86.73,65.59,533666.0,-0.12
381,NSE_FO:BANKNIFTY08OCT2023100PE [LOCAL],08-10-2020 14:32,e5277b1b637246968e48db808a63cdc5,SELL,15,30.0,INTRADAY,MARKET,08-10-2020 14:47,5aa9adf91631455aa2d4b66fd69ef0f7,BUY,15,54.45,INTRADAY,MARKET,-366.75,33299.25,-81.5,64.94,533299.25,-0.19
382,NSE_FO:BANKNIFTY08OCT2023100CE [LOCAL],08-10-2020 14:36,40faef23bc3f4d62825bb816524ee82c,SELL,15,48.8,INTRADAY,MARKET,08-10-2020 14:38,e689315a0162475caef060012e90a1b1,BUY,15,71.7,INTRADAY,MARKET,-343.5,32955.75,-46.93,65.67,532955.75,-0.25
383,NSE_FO:BANKNIFTY08OCT2023100CE [LOCAL],08-10-2020 14:45,e3caf6dd89674812bd586a209ff6b088,SELL,15,38.3,INTRADAY,MARKET,08-10-2020 14:51,4faf814c186844d98843901f1aedf133,BUY,15,53.95,INTRADAY,MARKET,-234.75,32721.0,-40.86,64.47,532721.0,-0.29
384,NSE_FO:BANKNIFTY08OCT2023000PE [LOCAL],08-10-2020 14:47,e50d56fa648f47899837532beefd2951,SELL,15,19.4,INTRADAY,MARKET,08-10-2020 15:10,b01ccb08de4b435fbb07013211baaacc,BUY,15,0.3,INTRADAY,MARKET,286.5,33007.5,98.45,66.17,533007.5,-0.24
385,NSE_FO:BANKNIFTY08OCT2023100PE [LOCAL],08-10-2020 14:50,e88f0e7fe3404705acd2c6eb681100cc,SELL,15,25.2,INTRADAY,MARKET,08-10-2020 15:10,89295c4656b64eaf8fba6ab7b93495f9,BUY,15,1.4,INTRADAY,MARKET,357.0,33364.5,94.44,64.62,533364.5,-0.17
386,NSE_FO:BANKNIFTY08OCT2023100CE [LOCAL],08-10-2020 14:52,eb698e660ed940819b420f75e5471c6d,SELL,15,41.15,INTRADAY,MARKET,08-10-2020 14:55,67cd2d243d9d4c9a91688dbd1595eed0,BUY,15,59.85,INTRADAY,MARKET,-280.5,33084.0,-45.44,63.91,533084.0,-0.23
387,NSE_FO:BANKNIFTY15OCT2023300PE [LOCAL],09-10-2020 09:17,1f5be4aa51954944983aeb2b5e35aef6,SELL,15,404.0,INTRADAY,MARKET,09-10-2020 11:05,10c246b5039b45ff9ae522c224b7656d,BUY,15,261.1,INTRADAY,MARKET,2143.5,35227.5,35.37,66.27,535227.5,0.0
388,NSE_FO:BANKNIFTY15OCT2023300CE [LOCAL],09-10-2020 09:17,d64db31c5fc34e26bcb333eaa4181d6f,SELL,15,426.55,INTRADAY,MARKET,09-10-2020 11:03,3b12b387b1414ae98f5ab6caa14a7431,BUY,15,566.1,INTRADAY,MARKET,-2093.25,33134.25,-32.72,61.98,533134.25,-0.39
389,NSE_FO:BANKNIFTY15OCT2023800CE [LOCAL],09-10-2020 11:03,e3dde82227de4a268e6f95d4dae4e88c,SELL,15,289.6,INTRADAY,MARKET,09-10-2020 11:05,8752d8d1046c424e99ee03cc8ecf02a9,BUY,15,342.75,INTRADAY,MARKET,-797.25,32337.0,-18.35,64.67,532337.0,-0.54
390,NSE_FO:BANKNIFTY15OCT2023700PE [LOCAL],09-10-2020 11:05,bdc75a7f3a53436e98568b44c097c336,SELL,15,424.6,INTRADAY,MARKET,09-10-2020 15:10,e3926376b0744d6eb23f7f8548775fc9,BUY,15,322.9,INTRADAY,MARKET,1525.5,33862.5,23.95,67.73,533862.5,-0.26
391,NSE_FO:BANKNIFTY15OCT2023700CE [LOCAL],09-10-2020 11:05,ede0222faf304f88a23ccc6ac1cf9cb1,SELL,15,390.6,INTRADAY,MARKET,09-10-2020 15:10,b3489f2a4ac84c78875cac5603ca7f23,BUY,15,488.05,INTRADAY,MARKET,-1461.75,32400.75,-24.95,64.8,532400.75,-0.53
392,NSE_FO:BANKNIFTY15OCT2024100PE [LOCAL],12-10-2020 09:17,89d7746da86940f78c143d1a0a8ee79c,SELL,15,398.0,INTRADAY,MARKET,12-10-2020 12:06,a12b74fe6b494f1b97af55424a365054,BUY,15,577.4,INTRADAY,MARKET,-2691.0,29709.75,-45.08,59.42,529709.75,-1.03
393,NSE_FO:BANKNIFTY15OCT2024100CE [LOCAL],12-10-2020 09:17,3c05e54a7e424520bb2089228ec16827,SELL,15,412.0,INTRADAY,MARKET,12-10-2020 13:55,e7da115d0dd743e0829e6bd62c5aed15,BUY,15,233.75,INTRADAY,MARKET,2673.75,32383.5,43.26,63.2,532383.5,-0.53
394,NSE_FO:BANKNIFTY15OCT2023600PE [LOCAL],12-10-2020 12:06,81c01eb82d7a4bf8a1f5b31ac0d8e4f4,SELL,15,319.7,INTRADAY,MARKET,12-10-2020 13:55,20dd3c2af94f4b6f86a8b5d3b4ac4040,BUY,15,291.85,INTRADAY,MARKET,417.75,32801.25,8.71,60.26,532801.25,-0.45
395,NSE_FO:BANKNIFTY15OCT2023600CE [LOCAL],12-10-2020 13:27,201f9e2c81b84d76ac4a61ffd36a7b1e,SELL,15,382.4,INTRADAY,MARKET,12-10-2020 13:55,f71b9e3ae88944c8901f11544dd5883e,BUY,15,462.6,INTRADAY,MARKET,-1203.0,31598.25,-20.97,57.85,531598.25,-0.68
396,NSE_FO:BANKNIFTY15OCT2023800PE [LOCAL],12-10-2020 13:55,d19c427f58f54e0cb9804422087120b0,SELL,15,389.3,INTRADAY,MARKET,12-10-2020 15:10,fd49474458f1483c9281a3252dd4c7cc,BUY,15,405.35,INTRADAY,MARKET,-240.75,31357.5,-4.12,62.71,531357.5,-0.72
397,NSE_FO:BANKNIFTY15OCT2023800CE [LOCAL],12-10-2020 13:55,c855f2c01d9a46958b05f43a079ec0c5,SELL,15,359.0,INTRADAY,MARKET,12-10-2020 15:10,e95ddf1d514d4910b1776234b797a8d7,BUY,15,337.0,INTRADAY,MARKET,330.0,31687.5,6.13,63.38,531687.5,-0.66
398,NSE_FO:BANKNIFTY15OCT2023500PE [LOCAL],13-10-2020 09:17,8490717a9f394914aa4130fb14fa1add,SELL,15,337.55,INTRADAY,MARKET,13-10-2020 15:10,21a09dc21f4d431ea6b9383e03c5ab97,BUY,15,281.0,INTRADAY,MARKET,848.25,32535.75,16.75,61.62,532535.75,-0.5
399,NSE_FO:BANKNIFTY15OCT2023500CE [LOCAL],13-10-2020 09:17,21cd550321ab472e9dba7e7ed2bba02b,SELL,15,354.95,INTRADAY,MARKET,13-10-2020 10:41,e6946847aebb45a9aa76ebbff12173e4,BUY,15,470.0,INTRADAY,MARKET,-1725.75,30810.0,-32.41,59.92,530810.0,-0.83
400,NSE_FO:BANKNIFTY15OCT2024000CE [LOCAL],13-10-2020 10:41,53d96abd832644fb95f9a5bfa1f24abf,SELL,15,219.85,INTRADAY,MARKET,13-10-2020 15:10,be1afb2e3d434d88b66ba8eaa9ce337d,BUY,15,128.0,INTRADAY,MARKET,1377.75,32187.75,41.78,64.38,532187.75,-0.57
401,NSE_FO:BANKNIFTY15OCT2023300PE [LOCAL],14-10-2020 09:17,e73882ffa2cd42e0a9c95e7fa7e5cfda,SELL,15,257.6,INTRADAY,MARKET,14-10-2020 15:10,6db1a2e3afa341c1befe3eb84e6690d3,BUY,15,46.85,INTRADAY,MARKET,3161.25,35349.0,81.81,67.54,535349.0,0.0
402,NSE_FO:BANKNIFTY15OCT2023300CE [LOCAL],14-10-2020 09:17,ca4f7e604d42493e8d1f1e822e73ec31,SELL,15,294.5,INTRADAY,MARKET,14-10-2020 14:21,62cec8c77522418cb5f5061b4c0a70d8,BUY,15,340.5,INTRADAY,MARKET,-690.0,34659.0,-15.62,63.0,534659.0,-0.13
403,NSE_FO:BANKNIFTY15OCT2023700CE [LOCAL],14-10-2020 14:21,022fec885f514568b86820a2fe0b41a4,SELL,15,146.25,INTRADAY,MARKET,14-10-2020 14:57,c97f6894d3b747c49bedb38bf3ede183,BUY,15,280.65,INTRADAY,MARKET,-2016.0,32643.0,-91.9,58.96,532643.0,-0.51
404,NSE_FO:BANKNIFTY15OCT2023600PE [LOCAL],14-10-2020 14:28,fc65936bf104454a9eb3b1a8115cad83,SELL,15,193.8,INTRADAY,MARKET,14-10-2020 15:10,59ade57ef693407382462b02b7d5c791,BUY,15,98.45,INTRADAY,MARKET,1430.25,34073.25,49.2,61.82,534073.25,-0.24
405,NSE_FO:BANKNIFTY15OCT2024100CE [LOCAL],14-10-2020 14:57,2039ff8b2e7e4ae494141d4700f90437,SELL,15,107.6,INTRADAY,MARKET,14-10-2020 15:10,7dedb5dd564e4988adbc2fd969bb153f,BUY,15,127.8,INTRADAY,MARKET,-303.0,33770.25,-18.77,61.22,533770.25,-0.29
406,NSE_FO:BANKNIFTY15OCT2023700PE [LOCAL],15-10-2020 09:17,813ac6b718ab4ffdb695c58a979278c0,SELL,15,118.4,INTRADAY,MARKET,15-10-2020 10:31,ead1c3e82da54496827bccc940260cce,BUY,15,59.45,INTRADAY,MARKET,884.25,34654.5,49.79,63.83,534654.5,-0.13
