,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
94,NSE_FO:BANKNIFTY30JUL2022300CE [LOCAL],30-07-2020 09:17,971924e0a294487482189f20893f0778,SELL,15,118.25,INTRADAY,MARKET,30-07-2020 13:09,4404d81efc00438bb5eb1c324cebbe8d,BUY,15,7.4,INTRADAY,MARKET,1662.75,18243.75,93.74,33.77,518243.75,0.0
95,NSE_FO:BANKNIFTY30JUL2022100PE [LOCAL],30-07-2020 09:23,330ae281fc5a40ab81c9a36826fbf4f2,SELL,15,87.65,INTRADAY,MARKET,30-07-2020 12:58,435cc0c8e82141a48c6ce8f214d8af4d,BUY,15,136.2,INTRADAY,MARKET,-728.25,17515.5,-55.39,30.44,517515.5,-0.14
96,NSE_FO:BANKNIFTY30JUL2022100CE [LOCAL],30-07-2020 09:42,775252231d974d47beed7a2e11d7ff66,SELL,15,134.05,INTRADAY,MARKET,30-07-2020 09:51,abdb66beeea44309be1fb8a4120ae3d7,BUY,15,176.25,INTRADAY,MARKET,-633.0,16882.5,-31.48,31.9,516882.5,-0.26
97,NSE_FO:BANKNIFTY30JUL2022100CE [LOCAL],30-07-2020 12:38,4f9161ea56924a31b3d07ef273745ab4,SELL,15,84.45,INTRADAY,MARKET,30-07-2020 13:54,9b4dab24f3ab48e5bf1ee1e4ea0876d1,BUY,15,9.25,INTRADAY,MARKET,1128.0,18010.5,89.05,33.42,518010.5,-0.05
98,NSE_FO:BANKNIFTY30JUL2021900PE [LOCAL],30-07-2020 12:58,91cba3166a25462eb5bcfd9375987624,SELL,15,38.95,INTRADAY,MARKET,30-07-2020 13:16,e9539fef470044adab867707468a0717,BUY,15,87.45,INTRADAY,MARKET,-727.5,17283.0,-124.52,32.31,517283.0,-0.19
99,NSE_FO:BANKNIFTY30JUL2022000CE [LOCAL],30-07-2020 13:09,1a08dd8e89254bf091d900bd212de2ff,SELL,15,46.3,INTRADAY,MARKET,30-07-2020 14:12,2d5c0c933f08470b8fa55c016145031a,BUY,15,8.45,INTRADAY,MARKET,567.75,17850.75,81.75,34.24,517850.75,-0.08
100,NSE_FO:BANKNIFTY30JUL2021800PE [LOCAL],30-07-2020 13:16,37f09009a9a24131bbbaeefa31c829f6,SELL,15,43.8,INTRADAY,MARKET,30-07-2020 14:09,51289ede4c5841b59b3834283bf11a0d,BUY,15,54.2,INTRADAY,MARKET,-156.0,17694.75,-23.74,33.11,517694.75,-0.11
101,NSE_FO:BANKNIFTY30JUL2021900PE [LOCAL],30-07-2020 13:34,bbe2fddb40a0453b92ce0712a8d7bfa5,SELL,15,46.0,INTRADAY,MARKET,30-07-2020 13:52,7aa6ebe1cb344f1bb4647764d273700b,BUY,15,84.3,INTRADAY,MARKET,-574.5,17120.25,-83.26,31.16,517120.25,-0.22
102,NSE_FO:BANKNIFTY30JUL2021900CE [LOCAL],30-07-2020 13:54,ecbe7de09c1b4852a29b31f530f9d35f,SELL,15,36.25,INTRADAY,MARKET,30-07-2020 14:20,f91c9c1fd7be4b909c918653237c56cc,BUY,15,9.0,INTRADAY,MARKET,408.75,17529.0,75.17,33.71,517529.0,-0.14
103,NSE_FO:BANKNIFTY30JUL2021700PE [LOCAL],30-07-2020 14:09,60f6de23c2274b94bcdce1353da92890,SELL,15,21.75,INTRADAY,MARKET,30-07-2020 14:16,8fcf50a5178841ddb6cdfe1664d55391,BUY,15,66.6,INTRADAY,MARKET,-672.75,16856.25,-206.21,32.9,516856.25,-0.27
104,NSE_FO:BANKNIFTY30JUL2021800CE [LOCAL],30-07-2020 14:12,9f83f67e4f9d4f0ebe76b45dcf08ce0a,SELL,15,35.9,INTRADAY,MARKET,30-07-2020 15:10,df999286a50b489f8a6eb99d35653a81,BUY,15,0.6,INTRADAY,MARKET,529.5,17385.75,98.33,35.0,517385.75,-0.17
105,NSE_FO:BANKNIFTY30JUL2021500PE [LOCAL],30-07-2020 14:16,70f3017f516c43f6945f1153835de7d4,SELL,15,23.35,INTRADAY,MARKET,30-07-2020 15:10,94c010f75937443cbcb286f4f2c55482,BUY,15,0.5,INTRADAY,MARKET,342.75,17728.5,97.86,33.94,517728.5,-0.1
106,NSE_FO:BANKNIFTY30JUL2021700CE [LOCAL],30-07-2020 14:20,7eeeaf3a9c14460cb8f81baa46ab2f4b,SELL,15,43.25,INTRADAY,MARKET,30-07-2020 14:24,cbba40b60c2545ebaab5bd9d5c4cbf4d,BUY,15,49.45,INTRADAY,MARKET,-93.0,17635.5,-14.34,33.53,517635.5,-0.12
107,NSE_FO:BANKNIFTY30JUL2021700CE [LOCAL],30-07-2020 14:26,877508dca23d40f5b48bac32ff25e716,SELL,15,35.45,INTRADAY,MARKET,30-07-2020 14:34,a9a2ac61f4e94b17922f9fdf77430b13,BUY,15,44.4,INTRADAY,MARKET,-134.25,17501.25,-25.25,33.26,517501.25,-0.14
108,NSE_FO:BANKNIFTY06AUG2021400PE [LOCAL],31-07-2020 09:17,c4c017ffe3b441a9b5872fc1e351f772,SELL,15,426.9,INTRADAY,MARKET,31-07-2020 15:10,883b42a68f114954802b6d0310f57ea5,BUY,15,267.5,INTRADAY,MARKET,2391.0,19892.25,37.34,34.94,519892.25,0.0
