,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
0,1696339,3099,NSE_FO:BANKNIFTY2472451800PE,22-07-2024 09:25,1,15,453.9,22-07-2024 15:09,0,15,338.4,1732.5,25.45,535403.0,326.47,699403.0,-0.13
1,1696336,3099,NSE_FO:BANKNIFTY2472452200CE,22-07-2024 09:25,1,15,484.25,22-07-2024 15:09,0,15,538.65,-816.0,-11.23,533670.5,325.41,697670.5,-0.38
2,1695808,3099,NSE_FO:BANKNIFTY2472452200PE,19-07-2024 09:25,1,15,400.9,19-07-2024 15:09,0,15,523.9,-1845.0,-30.68,534486.5,325.91,698486.5,-0.26
3,1695807,3099,NSE_FO:BANKNIFTY2472452600CE,19-07-2024 09:25,1,15,535.55,19-07-2024 15:09,0,15,406.0,1943.25,24.19,536331.5,327.03,700331.5,0.0
4,1695212,3099,NSE_FO:BANKNIFTY2472452100PE,18-07-2024 09:25,1,15,473.85,18-07-2024 15:09,0,15,336.85,2055.0,28.91,534388.25,325.85,698388.25,0.0
5,1695211,3099,NSE_FO:BANKNIFTY2472452500CE,18-07-2024 09:25,1,15,524.65,18-07-2024 15:09,0,15,622.15,-1462.5,-18.58,532333.25,324.59,696333.25,-0.21
6,1694644,3099,NSE_FO:BANKNIFTY2471652200PE,16-07-2024 15:06,1,15,0.4,16-07-2024 15:09,0,15,0.25,2.25,37.5,533795.75,325.49,697795.75,0.0
7,1694642,3099,NSE_FO:BANKNIFTY2471652600CE,16-07-2024 15:06,1,15,0.55,16-07-2024 15:09,0,15,0.3,3.75,45.45,533793.5,325.48,697793.5,0.0
8,1694628,3099,NSE_FO:BANKNIFTY2471652200PE,16-07-2024 15:03,1,15,0.65,16-07-2024 15:06,0,15,0.4,3.75,38.46,533789.75,325.48,697789.75,0.0
9,1694627,3099,NSE_FO:BANKNIFTY2471652600CE,16-07-2024 15:03,1,15,0.95,16-07-2024 15:06,0,15,0.55,6.0,42.11,533786.0,325.48,697786.0,0.0
