,instrument_str,entry_timestamp,EN_ID,entry_transaction_type,entry_quantity,entry_price,EN_CODE,EN_VAR,exit_timestamp,EX_ID,exit_transaction_type,exit_quantity,exit_price,EX_CODE,EX_VAR,pnl_absolute,pnl_cumulative_absolute,pnl_percentage,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Drawdown ?,Date
2884,NSE_FO:BANKNIFTY06OCT2237800CE [LOCAL],30-09-2022 09:25,84449fc856b24684bb6b3ef3d6f8d889,SELL,30,412.0,INTRADAY,MARKET,30-09-2022 09:25,9f115a95d4f546bd97bac98b7458f506,BUY,30,545.33,INTRADAY,MARKET,-4000.0,336927.0,-32.36,197.03,507927.0,-4.05,-21441.5,30-09-2022
2885,NSE_FO:BANKNIFTY06OCT2237200PE [LOCAL],30-09-2022 09:25,a49bc0f54fdb43999073b706058bd06f,SELL,30,448.2,INTRADAY,MARKET,30-09-2022 09:25,034813a184e94869b594e6ac75ea76bc,BUY,30,448.2,INTRADAY,MARKET,0.0,336927.0,0.0,197.03,507927.0,-4.05,-21441.5,30-09-2022
2886,NSE_FO:BANKNIFTY06OCT2238900CE [LOCAL],03-10-2022 09:25,9a777510c8bf4521b7855222460af9f2,SELL,30,299.0,INTRADAY,MARKET,03-10-2022 09:25,d8a61dfa7ecd4115bd8b0471dc987254,BUY,30,88.35,INTRADAY,MARKET,6319.5,343246.5,70.45,200.73,514246.5,-2.86,-15122.0,03-10-2022
2887,NSE_FO:BANKNIFTY06OCT2238300PE [LOCAL],03-10-2022 09:25,c553ad10819c4e1987aa0c3e8a39a3a4,SELL,30,321.4,INTRADAY,MARKET,03-10-2022 09:25,fea381419be74acba0594bd18cb82457,BUY,30,535.2,INTRADAY,MARKET,-6414.0,336832.5,-66.52,196.98,507832.5,-4.07,-21536.0,03-10-2022
2888,NSE_FO:BANKNIFTY06OCT2239300CE [LOCAL],04-10-2022 09:25,1757fa11f7b347cb9a00f8e233994d1a,SELL,30,194.55,INTRADAY,MARKET,04-10-2022 09:25,66a6104770f242089cd705091ebbc2be,BUY,30,173.2,INTRADAY,MARKET,640.5,337473.0,10.97,197.35,508473.0,-3.95,-20895.5,04-10-2022
2889,NSE_FO:BANKNIFTY06OCT2238700PE [LOCAL],04-10-2022 09:25,e818082207454b269f12027a5da0c8be,SELL,30,187.6,INTRADAY,MARKET,04-10-2022 09:25,6b0d9f8eef854e7b909421ffdaecb116,BUY,30,106.85,INTRADAY,MARKET,2422.5,339895.5,43.04,198.77,510895.5,-3.49,-18473.0,04-10-2022
2890,NSE_FO:BANKNIFTY06OCT2239600CE [LOCAL],06-10-2022 09:25,113bad13b683463c882da2b1c6555386,SELL,30,79.35,INTRADAY,MARKET,06-10-2022 09:25,cadaa7229dd64b749890a6840d008e34,BUY,30,62.95,INTRADAY,MARKET,492.0,340387.5,20.67,199.06,511387.5,-3.4,-17981.0,06-10-2022
2891,NSE_FO:BANKNIFTY06OCT2239000PE [LOCAL],06-10-2022 09:25,cf0273d0451c4061a3c680a200729a0e,SELL,30,84.75,INTRADAY,MARKET,06-10-2022 09:25,af631d8b9e7c4c18a8447a6b797d9992,BUY,30,31.85,INTRADAY,MARKET,1587.0,341974.5,62.42,199.99,512974.5,-3.1,-16394.0,06-10-2022
2892,NSE_FO:BANKNIFTY06OCT2239700CE [LOCAL],06-10-2022 10:35,7c0c5b55cd0a4f5a81635e7f35ace7bc,SELL,30,35.95,INTRADAY,MARKET,06-10-2022 10:35,46d32bd6dafa45938a802d8517bfbae1,BUY,30,20.4,INTRADAY,MARKET,466.5,342441.0,43.25,200.26,513441.0,-3.01,-15927.5,06-10-2022
2893,NSE_FO:BANKNIFTY06OCT2239100PE [LOCAL],06-10-2022 10:35,072fbc9c5689426b9971abcf5746734b,SELL,30,45.1,INTRADAY,MARKET,06-10-2022 10:35,c32de1c08827433f9d230151ed13b7b7,BUY,30,27.4,INTRADAY,MARKET,531.0,342972.0,39.25,200.57,513972.0,-2.91,-15396.5,06-10-2022
2894,NSE_FO:BANKNIFTY06OCT2239700CE [LOCAL],06-10-2022 12:06,44d8fef84c054f9791402a478dfa7565,SELL,30,20.4,INTRADAY,MARKET,06-10-2022 12:06,f9295d22dda64993b0f079e5d2b70d49,BUY,30,23.25,INTRADAY,MARKET,-85.5,342886.5,-13.97,200.52,513886.5,-2.92,-15482.0,06-10-2022
2895,NSE_FO:BANKNIFTY06OCT2239100PE [LOCAL],06-10-2022 12:06,88c2e0d69706459bb4b89c09c515cb50,SELL,30,27.4,INTRADAY,MARKET,06-10-2022 12:06,333134d101754f1c8ad10facfade6524,BUY,30,5.3,INTRADAY,MARKET,663.0,343549.5,80.66,200.91,514549.5,-2.8,-14819.0,06-10-2022
2896,NSE_FO:BANKNIFTY06OCT2239800CE [LOCAL],06-10-2022 13:43,4d6b707f1e2648e982495e95af03acd8,SELL,30,8.5,INTRADAY,MARKET,06-10-2022 13:43,2369e5c40d3b405ca6887885c6596719,BUY,30,2.3,INTRADAY,MARKET,186.0,343735.5,72.94,201.01,514735.5,-2.76,-14633.0,06-10-2022
2897,NSE_FO:BANKNIFTY06OCT2239200PE [LOCAL],06-10-2022 13:43,5acb35fe31ac4573b8d25ecfbdc6f1f0,SELL,30,7.9,INTRADAY,MARKET,06-10-2022 13:43,61299f9183f64cfca909b33e5bed602c,BUY,30,29.75,INTRADAY,MARKET,-655.5,343080.0,-276.58,200.63,514080.0,-2.89,-15288.5,06-10-2022
2898,NSE_FO:BANKNIFTY06OCT2239700CE [LOCAL],06-10-2022 14:16,55156325db844cb6b565dc15283d3349,SELL,30,3.55,INTRADAY,MARKET,06-10-2022 14:16,198f4d72a82c4caa952d7837d3e4e54a,BUY,30,3.1,INTRADAY,MARKET,13.5,343093.5,12.68,200.64,514093.5,-2.89,-15275.0,06-10-2022
2899,NSE_FO:BANKNIFTY06OCT2239100PE [LOCAL],06-10-2022 14:16,9a63074877734502a8e0c48987df762c,SELL,30,17.35,INTRADAY,MARKET,06-10-2022 14:16,d330508eadae4f6a8fe874baf6389025,BUY,30,8.65,INTRADAY,MARKET,261.0,343354.5,50.14,200.79,514354.5,-2.84,-15014.0,06-10-2022
2900,NSE_FO:BANKNIFTY06OCT2239700CE [LOCAL],06-10-2022 14:24,9eec20cd461e41438b3ca9a969d3885b,SELL,30,3.1,INTRADAY,MARKET,06-10-2022 14:24,2ddb3b3b67eb4e0baae0ebcb070e1e7f,BUY,30,1.35,INTRADAY,MARKET,52.5,343407.0,56.45,200.82,514407.0,-2.83,-14961.5,06-10-2022
2901,NSE_FO:BANKNIFTY06OCT2239100PE [LOCAL],06-10-2022 14:24,aeb8148f56334e199bd11d6a31d7cb5a,SELL,30,8.65,INTRADAY,MARKET,06-10-2022 14:24,64399bd2d7c74914b05d9361a9d15bed,BUY,30,4.15,INTRADAY,MARKET,135.0,343542.0,52.02,200.9,514542.0,-2.8,-14826.5,06-10-2022
2902,NSE_FO:BANKNIFTY06OCT2239600CE [LOCAL],06-10-2022 14:49,2fdd790965fe464a83a9b580c07ffa34,SELL,30,2.25,INTRADAY,MARKET,06-10-2022 14:49,7b36643890e74dbc8199fe6cfefce099,BUY,30,1.25,INTRADAY,MARKET,30.0,343572.0,44.44,200.92,514572.0,-2.8,-14796.5,06-10-2022
2903,NSE_FO:BANKNIFTY06OCT2239000PE [LOCAL],06-10-2022 14:49,37603514e9e645eebc200b97b219232b,SELL,30,2.45,INTRADAY,MARKET,06-10-2022 14:49,de83d16366bf493080de6b35b0247dd4,BUY,30,1.45,INTRADAY,MARKET,30.0,343602.0,40.82,200.94,514602.0,-2.79,-14766.5,06-10-2022
2904,NSE_FO:BANKNIFTY06OCT2239600CE [LOCAL],06-10-2022 14:53,b5ec472fc2eb448e817392d4b576b417,SELL,30,1.25,INTRADAY,MARKET,06-10-2022 14:53,9debb36a073c485faf5b1f00a0b82801,BUY,30,0.7,INTRADAY,MARKET,16.5,343618.5,44.0,200.95,514618.5,-2.79,-14750.0,06-10-2022
2905,NSE_FO:BANKNIFTY06OCT2239000PE [LOCAL],06-10-2022 14:53,444ebce6ab4a4bbba411fb578acc0bad,SELL,30,1.45,INTRADAY,MARKET,06-10-2022 14:53,771b1f77273543aca07ae4adf765be77,BUY,30,0.75,INTRADAY,MARKET,21.0,343639.5,48.28,200.96,514639.5,-2.78,-14729.0,06-10-2022
2906,NSE_FO:BANKNIFTY06OCT2239600CE [LOCAL],06-10-2022 15:01,8e78665bf0194e9c8c5969bd463234cf,SELL,30,0.7,INTRADAY,MARKET,06-10-2022 15:01,8a2456142c294ccaae66931e94dd1414,BUY,30,0.2,INTRADAY,MARKET,15.0,343654.5,71.43,200.97,514654.5,-2.78,-14714.0,06-10-2022
