,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
0,1696220,953,NSE_FO:BANKNIFTY2472451900PE,22-07-2024 09:20,1,15,538.8,22-07-2024 15:10,0.0,15.0,376.2,2439.0,30.18,59976.5,79.97,134976.5,-24.38
1,1696219,953,NSE_FO:BANKNIFTY2472451900CE,22-07-2024 09:20,1,15,616.75,22-07-2024 15:10,0.0,15.0,706.0,-1338.75,-14.47,57537.5,76.72,132537.5,-25.75
2,1696218,953,NSE_FO:BANKNIFTY2472451400PE,22-07-2024 09:20,0,15,335.15,22-07-2024 15:10,1.0,15.0,218.7,-1746.75,-34.75,58876.25,78.5,133876.25,-25.0
3,1696216,953,NSE_FO:BANKNIFTY2472452400CE,22-07-2024 09:20,0,15,396.45,22-07-2024 15:10,1.0,15.0,448.9,786.75,13.23,60623.0,80.83,135623.0,-24.02
4,1695750,953,NSE_FO:BANKNIFTY2472452400PE,19-07-2024 09:20,1,15,535.25,19-07-2024 15:10,0.0,15.0,626.2,-1364.25,-16.99,59836.25,79.78,134836.25,-24.46
5,1695749,953,NSE_FO:BANKNIFTY2472452400CE,19-07-2024 09:20,1,15,584.35,19-07-2024 15:10,0.0,15.0,491.35,1395.0,15.92,61200.5,81.6,136200.5,-23.7
6,1695748,953,NSE_FO:BANKNIFTY2472451900PE,19-07-2024 09:20,0,15,332.95,19-07-2024 15:10,1.0,15.0,388.2,828.75,16.59,59805.5,79.74,134805.5,-24.48
7,1695747,953,NSE_FO:BANKNIFTY2472452900CE,19-07-2024 09:20,0,15,364.25,19-07-2024 15:10,1.0,15.0,304.0,-903.75,-16.54,58976.75,78.64,133976.75,-24.94
8,1695155,953,NSE_FO:BANKNIFTY2472452300PE,18-07-2024 09:20,1,15,548.2,18-07-2024 15:10,0.0,15.0,410.65,2063.25,25.09,59880.5,79.84,134880.5,-24.44
9,1695154,953,NSE_FO:BANKNIFTY2472452300CE,18-07-2024 09:20,1,15,648.35,18-07-2024 15:10,0.0,15.0,741.55,-1398.0,-14.37,57817.25,77.09,132817.25,-25.59
10,1695153,953,NSE_FO:BANKNIFTY2472451800PE,18-07-2024 09:20,0,15,352.05,18-07-2024 15:10,1.0,15.0,249.65,-1536.0,-29.09,59215.25,78.95,134215.25,-24.81
11,1695152,953,NSE_FO:BANKNIFTY2472452800CE,18-07-2024 09:20,0,15,417.55,18-07-2024 15:10,1.0,15.0,474.0,846.75,13.52,60751.25,81.0,135751.25,-23.95
12,1694381,953,NSE_FO:BANKNIFTY2471652600PE,16-07-2024 09:20,1,15,171.95,16-07-2024 15:10,0.0,15.0,178.1,-92.25,-3.58,59904.5,79.87,134904.5,-24.42
13,1694380,953,NSE_FO:BANKNIFTY2471652600CE,16-07-2024 09:20,1,15,179.5,16-07-2024 15:10,0.0,15.0,0.3,2688.0,99.83,59996.75,80.0,134996.75,-24.37
14,1694378,953,NSE_FO:BANKNIFTY2471652100PE,16-07-2024 09:20,0,15,41.95,16-07-2024 15:10,1.0,15.0,0.2,-626.25,-99.52,57308.75,76.41,132308.75,-25.88
15,1694327,953,NSE_FO:BANKNIFTY2471653100CE,16-07-2024 09:20,0,15,36.3,16-07-2024 15:10,1.0,15.0,0.25,-540.75,-99.31,57935.0,77.25,132935.0,-25.53
16,1693928,953,NSE_FO:BANKNIFTY2471652300PE,15-07-2024 09:20,1,15,218.25,15-07-2024 15:10,0.0,15.0,105.8,1686.75,51.52,58475.75,77.97,133475.75,-25.22
17,1693892,953,NSE_FO:BANKNIFTY2471652300CE,15-07-2024 09:20,1,15,285.6,15-07-2024 15:10,0.0,15.0,369.25,-1254.75,-29.29,56789.0,75.72,131789.0,-26.17
18,1693891,953,NSE_FO:BANKNIFTY2471651800PE,15-07-2024 09:20,0,15,70.1,15-07-2024 15:10,1.0,15.0,26.95,-647.25,-61.55,58043.75,77.39,133043.75,-25.47
19,1693890,953,NSE_FO:BANKNIFTY2471652800CE,15-07-2024 09:20,0,15,92.15,15-07-2024 15:10,1.0,15.0,104.0,177.75,12.86,58691.0,78.25,133691.0,-25.1
20,1693442,953,NSE_FO:BANKNIFTY2471652200PE,12-07-2024 09:20,1,15,274.15,12-07-2024 15:10,0.0,15.0,222.7,771.75,18.77,58513.25,78.02,133513.25,-25.2
21,1693441,953,NSE_FO:BANKNIFTY2471652200CE,12-07-2024 09:20,1,15,334.8,12-07-2024 15:10,0.0,15.0,344.95,-152.25,-3.03,57741.5,76.99,132741.5,-25.64
22,1693440,953,NSE_FO:BANKNIFTY2471651700PE,12-07-2024 09:20,0,15,111.4,12-07-2024 15:10,1.0,15.0,79.45,-479.25,-28.68,57893.75,77.19,132893.75,-25.55
23,1693414,953,NSE_FO:BANKNIFTY2471652700CE,12-07-2024 09:20,0,15,134.75,12-07-2024 15:10,1.0,15.0,132.65,-31.5,-1.56,58373.0,77.83,133373.0,-25.28
24,1692871,953,NSE_FO:BANKNIFTY2471652200PE,11-07-2024 09:20,1,15,323.15,11-07-2024 15:10,0.0,15.0,235.95,1308.0,26.98,58404.5,77.87,133404.5,-25.26
25,1692870,953,NSE_FO:BANKNIFTY2471652200CE,11-07-2024 09:20,1,15,406.2,11-07-2024 15:10,0.0,15.0,433.0,-402.0,-6.6,57096.5,76.13,132096.5,-26.0
26,1692869,953,NSE_FO:BANKNIFTY2471651700PE,11-07-2024 09:20,0,15,147.55,11-07-2024 15:10,1.0,15.0,98.25,-739.5,-33.41,57498.5,76.66,132498.5,-25.77
27,1692868,953,NSE_FO:BANKNIFTY2471652700CE,11-07-2024 09:20,0,15,193.0,11-07-2024 15:10,1.0,15.0,191.7,-19.5,-0.67,58238.0,77.65,133238.0,-25.36
28,1692200,953,NSE_FO:BANKNIFTY2471052300PE,10-07-2024 09:20,1,15,253.0,10-07-2024 15:10,0.0,15.0,104.0,2235.0,58.89,58257.5,77.68,133257.5,-25.35
29,1692199,953,NSE_FO:BANKNIFTY2471052300CE,10-07-2024 09:20,1,15,168.0,10-07-2024 15:10,0.0,15.0,0.6,2511.0,99.64,56022.5,74.7,131022.5,-26.6
30,1692198,953,NSE_FO:BANKNIFTY2471051800PE,10-07-2024 09:20,0,15,60.6,10-07-2024 15:10,1.0,15.0,0.25,-905.25,-99.59,53511.5,71.35,128511.5,-28.01
31,1692197,953,NSE_FO:BANKNIFTY2471052800CE,10-07-2024 09:20,0,15,42.65,10-07-2024 15:10,1.0,15.0,0.35,-634.5,-99.18,54416.75,72.56,129416.75,-27.5
32,1691714,953,NSE_FO:BANKNIFTY2471052600PE,09-07-2024 09:20,1,15,282.55,09-07-2024 15:10,0.0,15.0,233.4,737.25,17.4,55051.25,73.4,130051.25,-27.14
33,1691713,953,NSE_FO:BANKNIFTY2471052600CE,09-07-2024 09:20,1,15,223.35,09-07-2024 15:10,0.0,15.0,148.0,1130.25,33.74,54314.0,72.42,129314.0,-27.56
34,1691711,953,NSE_FO:BANKNIFTY2471052100PE,09-07-2024 09:20,0,15,90.8,09-07-2024 15:10,1.0,15.0,55.1,-535.5,-39.32,53183.75,70.91,128183.75,-28.19
35,1691709,953,NSE_FO:BANKNIFTY2471053100CE,09-07-2024 09:20,0,15,75.4,09-07-2024 15:10,1.0,15.0,36.85,-578.25,-51.13,53719.25,71.63,128719.25,-27.89
36,1691241,953,NSE_FO:BANKNIFTY2471052400PE,08-07-2024 09:20,1,15,309.5,08-07-2024 15:10,0.0,15.0,238.4,1066.5,22.97,54297.5,72.4,129297.5,-27.57
37,1691238,953,NSE_FO:BANKNIFTY2471052400CE,08-07-2024 09:20,1,15,310.6,08-07-2024 15:10,0.0,15.0,288.55,330.75,7.1,53231.0,70.97,128231.0,-28.16
38,1691237,953,NSE_FO:BANKNIFTY2471051900PE,08-07-2024 09:20,0,15,124.55,08-07-2024 15:10,1.0,15.0,77.1,-711.75,-38.1,52900.25,70.53,127900.25,-28.35
39,1691235,953,NSE_FO:BANKNIFTY2471052900CE,08-07-2024 09:20,0,15,129.45,08-07-2024 15:10,1.0,15.0,112.15,-259.5,-13.36,53612.0,71.48,128612.0,-27.95
40,1690761,953,NSE_FO:BANKNIFTY2471052700PE,05-07-2024 09:20,1,15,389.65,05-07-2024 15:10,0.0,15.0,329.1,908.25,15.54,53871.5,71.83,128871.5,-27.8
41,1690760,953,NSE_FO:BANKNIFTY2471052700CE,05-07-2024 09:20,1,15,347.4,05-07-2024 15:10,0.0,15.0,317.6,447.0,8.58,52963.25,70.62,127963.25,-28.31
42,1690759,953,NSE_FO:BANKNIFTY2471052200PE,05-07-2024 09:20,0,15,190.6,05-07-2024 15:10,1.0,15.0,140.0,-759.0,-26.55,52516.25,70.02,127516.25,-28.56
